ID Estacion,Autoridad Ambiental,Estacion,Latitud,Longitud,Variable,Unidades,Tiempo de exposición (horas),a�o,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Maximo,Fechas/horas del maximo,Minimo,Fechas/horas del mi�nimo,Dias de excedencias,Codigo del Departamento,Nombre del Departamento,Codigo del Municipio,Nombre del Municipio,Tipo de Estacion
"8,775",CVC,PALMIRA,3.5375,-76.30083333,PM10,ugm3,24,"2,021",22.5,"6,806.65",302,83,0,0,21.3,47.1,69.8,27/12/2021 12:00,1.4,30/10/2021 12:00,0,76,VALLE DEL CAUCA,76520,PALMIRA,Fija
"19,661",CARDER,CENTRO TRADICIONAL,4.817977778,-75.69970833,PM10,ugm3,24,"2,021",22.6,"2,124.31",94,52,0,0,22.5,30.9,32.1,3/9/2021,4.9,20/10/2021,0,66,RISARALDA,66001,PEREIRA,Fija
"9,041",CORPOCESAR,LA PALMITA,9.504138889,-73.40538889,PM10,ugm3,24,"2,021",22.6,"2,739.55",121,99,0,0,20.8,44.7,54.4,3/3/2021,6.7,25/07/2021,0,20,CESAR,20400,LA JAGUA DE IBIRICO,Fija
"30,691",CORPOCESAR,CASACARÁ,9.831778,-73.299361,PM10,ugm3,24,"2,021",22.7,"2,470.23",109,89,1,0.92,17,63.6,84.1,3/3/2021,2.3,25/07/2021,1,20,CESAR,20013,AGUSTIN CODAZZI,Fija
"31,389",CORMACARENA,CATUMARE,4.108056,-73.655833,PM10,ugm3,1,"2,021",23,"52,258.40","2,275",26,49,2.15,18,76.9,301.5,19/01/2021 1:00,0,27/01/2021 2:00,18,50,META,50001,VILLAVICENCIO,Fija
"9,101",AMVA,HOSPITAL STA. MARG.,6.349813889,-75.50483333,PM10,ugm3,24,"2,021",23.2,"2,600.09",112,92,0,0,21.9,42.7,48.5,4/3/2021,6.6,15/08/2021,0,5,ANTIOQUIA,5212,COPACABANA,Fija
"31,389",CORMACARENA,CATUMARE,4.108056,-73.655833,PM10,ugm3,24,"2,021",23.2,"2,135.09",92,25,0,0,22,51.3,71.1,19/01/2021 12:00,8.1,07/02/2021 12:00:00  - 21/02/2021 12:00:00,0,50,META,50001,VILLAVICENCIO,Fija
"8,248",CAR,SENA,4.687882774,-74.22254747,PM10,ugm3,1,"2,021",23.5,"157,140.77","6,689",76,15,0.22,21.6,52.6,121.3,15/12/2021 7:00,2.6,1/7/2021 4:00,9,25,CUNDINAMARCA,25473,MOSQUERA,Fija
"8,248",CAR,SENA,4.687882774,-74.22254747,PM10,ugm3,24,"2,021",23.5,"6,417.16",273,75,0,0,22.6,38.9,50.2,29/01/2021 12:00,6.6,11/1/2021 12:00,0,25,CUNDINAMARCA,25473,MOSQUERA,Fija
"8,980",CORPOGUAJIRA,PAPAYAL_CG,10.9954,-72.774,PM10,ugm3,24,"2,021",23.6,377.2,16,13,0,0,23,33.2,33.3,15/12/2021,10.8,27/11/2021,0,44,LA GUAJIRA,44078,BARRANCAS,Fija
"30,040",CAR,ESTACIÓN TAUSA,5.187886111,-73.87971111,PM10,ugm3,1,"2,021",23.8,"185,970.81","7,799",89,232,2.97,17.9,83.6,171.5,19/11/2021 7:00,2.2,1/7/2021 5:00,60,25,CUNDINAMARCA,25793,TAUSA,Fija
"30,040",CAR,ESTACIÓN TAUSA,5.187886111,-73.87971111,PM10,ugm3,24,"2,021",23.9,"7,778.10",326,89,6,1.84,20.3,67,93.2,16/01/2021 12:00,3.2,19/07/2021 12:00,6,25,CUNDINAMARCA,25793,TAUSA,Fija
"29,574",CORPOCESAR,LA VICTORIA,9.590306,-73.237639,PM10,ugm3,24,"2,021",24.1,"2,849.20",118,97,2,1.69,19,66.3,304.5,26/05/2021,1.4,28/07/2021,2,20,CESAR,20400,LA JAGUA DE IBIRICO,Fija
"9,044",CORPOCESAR,BOQUERÓN,9.631166667,-73.42294444,PM10,ugm3,24,"2,021",24.5,"2,941.30",120,98,1,0.83,21.9,51,81.2,2/4/2021,7.7,22/12/2021,1,20,CESAR,20400,LA JAGUA DE IBIRICO,Fija
"30,815",CORPOBOYACA,BOMBEROS,5.770917,-72.937964,PM10,ugm3,1,"2,021",24.6,"123,138.14","5,013",57,149,2.97,19.7,82.5,162.1,7/2/2021 11:00,0,21/03/2021 06:00:00  - 21/03/2021 07:00:00  - 21/03/2021 08:00:00  - 16/04/2021 09:00:00  - 29/07/2021 11:00:00  - 30/07/2021 12:00:00  - 30/07/2021 01:00:00  - 30/07/2021 02:00:00  - 30/07/2021 03:00:00  - 30/07/2021 04:00:00  - 30/07/2021 05:00:00  - 30/07/2021 06:00:00  - 30/07/2021 07:00:00  - 30/07/2021 08:00:00  - 30/07/2021 09:00:00  - 30/07/2021 10:00:00,57,15,BOYACA,15491,NOBSA,Fija
"30,815",CORPOBOYACA,BOMBEROS,5.770917,-72.937964,PM10,ugm3,24,"2,021",24.7,"5,095.65",206,56,0,0,22.5,55,69,7/2/2021 12:00,7.3,2/5/2021 12:00,0,15,BOYACA,15491,NOBSA,Fija
"31,826",CORPOBOYACA,EL RECREO,5.726325,-72.920905,PM10,ugm3,24,"2,021",25.9,"5,903.39",228,62,0,0,25.2,46.1,57.3,23/12/2021 12:00,10.4,5/7/2021 12:00,0,15,BOYACA,15759,SOGAMOSO,Fija
"8,211",SDA,GUAYMARAL,4.783756,-74.044183,PM10,ugm3,24,"2,021",25.9,"8,420.43",325,89,0,0,24.6,46.9,54.8,14/12/2021 12:00,11.1,1/8/2021 12:00,0,11,"BOGOTA, D.C.",11001,"BOGOTA, D.C.",Fija
"8,211",SDA,GUAYMARAL,4.783756,-74.044183,PM10,ugm3,1,"2,021",26,"203,166","7,808",89,76,0.97,23,65,138,2/12/2021 6:00,3,08/01/2021 10:00:00  - 11/01/2021 09:00:00  - 30/04/2021 01:00:00,49,11,"BOGOTA, D.C.",11001,"BOGOTA, D.C.",Fija
